Company Name,Job Title,Skills Requirements,Location,Mode,Job Description,Special Requirements,Duration,Type
IBM,Data Engineer Intern,"['Python', ' Spark', ' Airflow', ' SQL', ' Data Warehousing', ' ETL/ELT']",Bengaluru,Hybrid,Build and maintain robust data pipelines to ingest and process large volumes of data.,Strong programming skills are more important than prior data engineering experience.,6,Data & Analytics
L&T,Architecture Intern,"['Revit', ' AutoCAD', ' SketchUp', ' Lumion', ' Model Making']",Jaipur,Offline,"Assist architects in creating drawings, 3D models, and presentations for client projects.",Open to B.Arch students in their 3rd or 4th year. Portfolio required.,6,Creative & Media
Max Healthcare,Pharmaceutical Research Intern,"['HPLC', ' Spectroscopy', ' Lab Documentation', ' Good Lab Practices (GLP)']",Hyderabad,Offline,Support scientists in the formulation development lab with experiments and documentation.,"Degree in Pharmacy, Pharmaceutical Chemistry, or a related field is mandatory.",6,Healthcare & Life Sciences
Intel,Robotics Intern,"['ROS', ' C++', ' Python', ' SLAM', ' Computer Vision']",Pune,Offline,Develop and test algorithms for navigation and perception for our autonomous robots.,Hands-on experience with hardware is a significant advantage.,6,Engineering
Deloitte,Accounting Intern,"['Tally ERP9', ' GST Compliance', ' MS Excel', ' Bookkeeping']",Ahmedabad,Offline,"Assist the accounts team with data entry, reconciliations, and filing GST returns.",Pursuing B.Com/M.Com or related commerce degree.,4,Business Administration
L&T,Instructional Design Intern,"['Articulate Storyline', ' ADDIE model', ' Curriculum Design']",Remote,Online,Create engaging and interactive e-learning courses based on provided content.,"Background in education, psychology, or communication is a plus.",4,Business Administration
IBM,Full Stack Developer Intern,"['MERN Stack (MongoDB', ' Express', ' React', ' Node.js)', ' TypeScript']",Remote,Online,Work on both front-end and back-end development for a complete web application module.,Must be comfortable working in a fast-paced agile environment.,6,Software Development
Max Healthcare,Hotel Management Intern,"['Front Office', ' F&B Service', ' Housekeeping', ' Guest Relations']",Goa,Offline,Rotate through key hotel departments to gain comprehensive operational experience.,Requirement: Currently enrolled in a BHM/Hospitality degree program.,6,Business Administration
Adani,Environmental Engineer Intern,"['EIA', ' Water Quality Testing', ' GIS', ' Waste Management']",Delhi,Offline,Assist in conducting environmental impact assessments and preparing compliance reports.,Passion for sustainability and environmental protection.,4,Engineering
Samsung,E-commerce Operations Intern,"['Order Management', ' Inventory Systems', ' Vendor Coordination', ' Excel']",Gurugram,Offline,"Manage daily e-commerce operations, including order processing and inventory updates.",Detail-oriented and comfortable working with large spreadsheets.,3,Business Administration
Max Healthcare,Food Technologist Intern,"['Quality Control', ' Product Development', ' HACCP', ' Sensory Evaluation']",Kochi,Offline,Assist the R&D team in developing new food products and conducting quality checks.,Pursuing a degree in Food Technology or a related field.,6,Healthcare & Life Sciences
IBM,Customer Success Intern,"['Client Communication', ' CRM', ' Problem-Solving', ' Product Knowledge']",Chennai,Hybrid,"Help onboard new clients, resolve their queries, and ensure they have a positive experience.",Empathetic and patient demeanor with excellent communication skills.,4,Business Administration
Intel,Founder's Office Intern,"['Strategic Initiatives', ' Market Research', ' MIS Reporting', ' Presentations']",Bengaluru,Offline,Work directly with the executive team on special projects and strategic initiatives.,"High level of discretion, business acumen, and ability to work under pressure.",3,Business Administration
