Company Name,Job Title,Skills Requirements,Location,Mode,Job Description,Special Requirements,Duration,JobType
Samsung,Mobile Performance Analyst Intern,"['Android Studio Profiler', ' Perfetto', ' Java/Kotlin', ' System Internals']",Delhi,Offline,"Work on the Galaxy smartphone software team to analyze and improve device performance. Your role will involve: • Identifying performance bottlenecks related to CPU, memory, and battery usage. • Using profiling tools to debug issues and validate software optimizations.",Strong problem-solving skills and a passion for mobile technology are essential.,6,SDE
Oracle,Database Kernel Developer Intern,"['C', ' C++', ' Data Structures', ' Algorithms', ' SQL', ' Linux/Unix']",Hyderabad,Offline,"Contribute to the core development of the Oracle Database, one of the world's leading database systems. You will: • Work on complex algorithms for query processing, storage management, or concurrency control. • Write high-quality, high-performance systems-level code.",A deep understanding of database internals and operating system concepts is required.,6,SDE
L&T,AI on the Edge Intern,"['Python', ' TensorFlow Lite', ' NVIDIA Jetson', ' Computer Vision', ' OpenCV']",Bengaluru,Offline,Join L&T Technology Services to develop AI models that run efficiently on edge devices. You will focus on: • Optimizing deep learning models for deployment on resource-constrained hardware. • Building real-time computer vision applications for industrial automation.,Experience with edge AI hardware platforms is a significant plus.,6,SDE
Reliance,Network Automation Engineer Intern,"['Python', ' Ansible', ' REST APIs', ' TCP/IP', ' Linux']",Delhi,Hybrid,Join the Jio network engineering team to automate and scale India's largest 4G/5G network. You will: • Develop scripts and playbooks to automate network configuration and monitoring tasks. • Build tools to provide insights into network health and performance.,CCNA or equivalent networking knowledge is highly recommended.,6,CLOUD
Samsung,Android Framework Engineer Intern,"['Java', ' C++', ' Android Internals (AOSP)', ' Binder', ' JNI']",Bengaluru,Hybrid,"Work deep inside the Android OS to customize and enhance the software for Samsung Galaxy devices. You will: • Modify and extend core Android services and frameworks. • Debug complex, system-level issues that impact millions of users.",Experience with AOSP (Android Open Source Project) is a major advantage.,6,SDE
Adani,Cloud Security Engineer Intern,"['AWS/Azure Security', ' IAM', ' Terraform', ' Python', ' CloudFormation']",Mumbai,Offline,"Be a part of Adani Digital Labs, ensuring the security and compliance of our cloud infrastructure. Your role includes: • Implementing and managing security controls and policies in a multi-cloud environment. • Automating security tasks and developing security-as-code scripts.",Prior knowledge of cloud security best practices is essential.,6,CYBERSECURITY
Oracle,Business Intelligence Engineer Intern,"['SQL', ' ETL Processes', ' Oracle Analytics Cloud', ' Data Warehousing']",Chennai,Hybrid,Design and develop business intelligence solutions to help teams make data-driven decisions. You will: • Create and manage ETL jobs to load data into our data warehouse. • Build complex reports and interactive dashboards for business users.,Exceptional SQL skills will be rigorously tested during the interview process.,6,SDE
Microsoft,UI/UX Designer Intern,"['Figma', ' Adobe XD', ' User Research', ' Wireframing', ' Prototyping']",Remote,Online,"Join a product design team to create intuitive and elegant user experiences for Microsoft products. You will: • Conduct user research, create user flows, and design wireframes and high-fidelity mockups. • Collaborate closely with engineers and PMs to bring your designs to life.",A portfolio link demonstrating strong UI/UX design principles must be included in your resume.,6,UI_UX
Oracle,FinTech Backend Engineer Intern,"['Java', ' Spring Boot', ' Microservices', ' REST APIs', ' SQL/NoSQL']",Bengaluru,Offline,"Work on Oracle's Financial Services applications, building the backend for next-gen banking solutions. You will: • Design, develop, and deploy scalable microservices for financial transactions. • Write robust code with a strong focus on security and reliability.",Interest in the financial technology domain is highly desirable.,6,SDE
Intel,VLSI Design Engineer Intern,"['Verilog/SystemVerilog', ' UVM', ' Synthesis', ' Static Timing Analysis (STA)']",Ahmedabad,Offline,Be a part of a team designing the next generation of Intel processors. Your role involves: • Writing RTL code for new features in Verilog or SystemVerilog. • Assisting in the verification and synthesis of digital logic designs.,Must be pursuing a degree in ECE or a related field with a focus on digital logic and chip design.,6,DATA_ENGINEER
Samsung,Technical Writer Intern,"['Technical Writing', ' Markdown', ' Git', ' API Documentation', ' DITA']",Remote,Online,"Create clear, concise, and accurate documentation for developers using Samsung's software platforms. You will: • Write API reference docs, getting-started guides, and in-depth tutorials. • Work with engineers to understand complex technical concepts and explain them simply.",A writing sample demonstrating your ability to explain a technical topic is required.,4,PRODUCT_MANAGER
IBM,Quantum Computing Research Intern,"['Python', ' Qiskit', ' Quantum Mechanics', ' Linear Algebra']",Remote,Online,Join IBM's quantum research team to explore the future of computing. You will have the opportunity to: • Implement and test quantum algorithms on real quantum hardware and simulators. • Contribute to research papers and open-source quantum computing software.,"A strong background in physics, mathematics, or computer science with a focus on quantum mechanics is essential.",6,SDE
Nokia,DevOps Engineer Intern,"['CI/CD (Jenkins/GitLab)', ' Docker', ' Kubernetes', ' Ansible', ' Bash/Python']",Pune,Hybrid,"Help build and maintain the CI/CD infrastructure for our telecom software development teams. You will: • Manage and improve our automated build, test, and deployment pipelines. • Work with containerization and orchestration technologies like Docker and Kubernetes.","Experience with cloud platforms (AWS, Azure) is a plus.",6,CLOUD
Reliance,Big Data Engineer Intern,"['Hadoop', ' Spark', ' Kafka', ' Hive', ' Scala/Java']",Mumbai,Offline,Join the Jio Big Data team to build and manage platforms that process petabytes of data. You will: • Develop and maintain data processing jobs using Spark and Hadoop. • Work with real-time data streaming pipelines using Kafka.,This role requires strong programming skills and an interest in large-scale distributed systems.,6,SDE
Oracle,Site Reliability Engineer (SRE) Intern,"['Linux', ' Python/Go', ' Prometheus', ' Grafana', ' Terraform', ' Networking']",Hyderabad,Hybrid,Join the Oracle Cloud Infrastructure (OCI) team to ensure our cloud services are reliable and scalable. Your role involves: • Developing automation tools to monitor and manage production systems. • Participating in incident response and conducting post-mortems to prevent future issues.,A solid understanding of operating systems and networking fundamentals is crucial.,6,CLOUD
Reliance,AR/VR Software Engineer Intern,"['C++', ' Unreal Engine', ' 3D Graphics (OpenGL/Vulkan)', ' Computer Vision']",Vadodara,Offline,Be part of the Tesseract team at Jio to build immersive AR/VR applications and experiences. You will: • Develop core features for our AR/VR platform and applications. • Optimize rendering performance and user interaction in a 3D environment.,A strong background in C++ and 3D mathematics is required.,6,GAME_DEV
Adani,IT Infrastructure Intern,"['Windows/Linux Server Admin', ' VMWare', ' Networking (TCP/IP)', ' Scripting']",Delhi,Hybrid,"Support the IT operations team in managing the corporate IT infrastructure for the Adani Group. You will: • Assist in server provisioning, network configuration, and troubleshooting IT issues. • Automate routine administrative tasks using PowerShell or Bash scripts.",This is a hands-on role perfect for someone looking to start a career in IT infrastructure.,6,CLOUD
IBM,Data Engineer Intern,"['Python', ' Spark', ' Airflow', ' SQL', ' Data Warehousing', ' ETL/ELT']",Bengaluru,Hybrid,Join IBM Consulting to help clients build modern data platforms. You will be responsible for: • Building and maintaining robust data pipelines to ingest and process large volumes of data. • Working with cloud data warehousing solutions like Redshift or BigQuery.,Strong programming skills are more important than prior data engineering experience.,6,SDE
L&T,Embedded Software Intern (Automotive),"['C', ' CAN/LIN protocols', ' AUTOSAR', ' Vector CANoe', ' Matlab/Simulink']",Jaipur,Offline,Work with L&T Technology Services on projects for leading global automotive clients. You will: • Develop and test embedded software for Electronic Control Units (ECUs) in vehicles. • Work with automotive communication protocols like CAN and LIN.,An interest in the automotive industry is highly desirable.,6,SDE
Max Healthcare,Health Informatics Analyst Intern,"['SQL', ' Python', ' EMR/EHR Systems (e.g.', ' Epic)', ' Data Privacy (HIPAA)']",Hyderabad,Offline,Join our digital health team to analyze clinical and operational data to improve patient outcomes. You will: • Extract and analyze data from Electronic Health Record (EHR) systems. • Build reports and dashboards for clinicians and hospital administrators.,"A background in bioinformatics, public health, or a related field is a plus.",6,SDE
Intel,Firmware Engineer Intern,"['C', ' C++', ' Assembly', ' Microcontrollers', ' RTOS', ' System Architecture']",Pune,Offline,"Develop and debug the firmware that powers Intel's hardware platforms, from CPUs to SSDs. You will: • Write low-level code that initializes hardware and manages system resources. • Troubleshoot complex issues that span hardware, firmware, and software.",Deep understanding of computer architecture and embedded systems is required.,6,SDE
Deloitte,Cloud Strategy Consultant Intern,"['AWS/Azure/GCP knowledge', ' Business Analysis', ' Financial Modeling', ' PPT']",Ahmedabad,Offline,Work with our technology strategy team to advise clients on their cloud adoption journey. You will: • Conduct research on cloud technologies and create business cases for cloud migration. • Assist in developing cloud strategy roadmaps and financial models for clients.,"This is a strategy role, not a hands-on coding role. Strong analytical and communication skills are key.",3,SDE
L&T,RPA Developer Intern,"['UiPath/Automation Anywhere', ' C#/.NET', ' Process Analysis', ' SQL']",Remote,Online,"Join our Business Process Automation team to build software robots that automate repetitive tasks. You will: • Analyze business processes to identify automation opportunities. • Design, develop, and deploy RPA bots using platforms like UiPath.",UiPath or Automation Anywhere certification is a strong advantage.,4,SDE
IBM,Full Stack Developer Intern,"['Node.js', ' React.js', ' Docker', ' Kubernetes', ' SQL/NoSQL']",Remote,Online,"Work on a modern, cloud-native application using a full-stack JavaScript framework. You will: • Develop both client-side and server-side components for new features. • Write unit and integration tests to ensure code quality in a CI/CD environment.",Must be comfortable working in a fast-paced agile team.,6,SDE
Max Healthcare,Healthcare IT Support Intern,"['IT Helpdesk', ' Windows OS', ' Networking', ' EMR/EHR Systems']",Goa,Offline,"Provide first-level IT support to doctors, nurses, and staff across our hospitals. You will: • Troubleshoot issues with clinical software, hardware, and network connectivity. • Document and escalate tickets to ensure timely resolution of problems.",Excellent communication and problem-solving skills are essential for this role.,6,CLOUD
Adani,GIS Developer Intern,"['Python (ArcPy)', ' Esri ArcGIS', ' PostGIS/SQL', ' Geospatial Data']",Delhi,Offline,Work with the Adani Group's infrastructure teams to build and analyze geospatial applications. You will: • Develop scripts to automate geospatial data processing and analysis. • Create interactive web maps and applications to visualize spatial data.,"A degree in Geoinformatics, Civil Engineering, or CS with a focus on GIS is required.",6,DATA_ENGINEER
Samsung,Chip Architecture Intern,"['Computer Architecture', ' Verilog', ' C++/SystemC', ' Performance Modeling']",Gurugram,Offline,"Join the Exynos processor design team to help define the architecture of future mobile chips. You will: • Develop and run performance models to evaluate new architectural ideas. • Analyze trade-offs between performance, power, and area for different designs.",A master's or PhD student in computer architecture is the ideal candidate.,6,DATA_ENGINEER
Max Healthcare,Backend Engineer (Patient Portal),"['Java/Python', ' Spring/Django', ' REST APIs', ' PostgreSQL', ' AWS', ' HIPAA']",Kochi,Offline,"Help build and maintain the backend services for our secure patient portal application. You will: • Develop APIs for patient registration, appointment booking, and medical records access. • Ensure all code and infrastructure is compliant with healthcare data privacy regulations (HIPAA).",Experience with security and data privacy best practices is a major plus.,6,SDE
IBM,Technical Product Manager Intern,"['Market Research', ' User Stories', ' A/B Testing', ' JIRA', ' Analytical Thinking']",Chennai,Hybrid,Work alongside product managers and engineers to help define the roadmap for an IBM software product. You will: • Conduct competitive analysis and gather user feedback to identify product opportunities. • Write detailed user stories and acceptance criteria for new features.,A blend of technical understanding and business acumen is required.,4,PRODUCT_MANAGER
Intel,Analog IC Design Intern,"['Cadence Virtuoso', ' Spectre', ' Circuit Design (Op-amps', ' LDOs)', ' CMOS']",Bengaluru,Offline,"Be part of a team designing analog and mixed-signal circuits for Intel's products. You will: • Design and simulate fundamental analog blocks like amplifiers, bandgaps, or PLLs. • Assist in the physical layout and verification of analog circuits.",A strong foundation in semiconductor physics and analog circuit design is mandatory.,6,DATA_ENGINEER
